nostril,10
running,12
baby,3
mouth,11
epistaxis,9
polyp,1
sinus,9
tooth,3
acne,4
adult,1
skin,14
fracture,1
pore,2
impetigo,3
bacterium,4
rash,3
virus,3
allergy,12
sore,4
throat,19
drug,2
coffee,1
vision,9
wheat,1
crying,1
stomach,4
coldness,18
temperature,2
muscle,2
movement,1
lip,6
eyes,22
mucus,9
anxiety,1
taste,2
cough,12
chest,4
head,11
boil,2
surgery,6
eyebrow,3
healing,2
pain,15
oxygen,2
vagina,1
yeast,1
swelling,8
ears,15
biopsy,1
thyroid,1
hot,2
sweating,2
vomit,3
bruise,4
blood,4
aspirin,3
hydronephrosis,1
headache,7
stuffy,2
ultrasound,1
infant,1
whooping,1
injury,2
lung,4
over,3
wart,1
nausea,2
fever,11
swallow,2
antibiotic,6
period,4
massage,1
burn,5
smell,6
blood,3
post,1
low,1
leg,3
fatigue,2
ear,2
drowsiness,2
separation,1
high,1
piercing,2
heart,1
aloe,1
torso,1
grief,1
brain,3
drainage,4
flu,4
tear,1
lotion,1
cavity,1
pinworm,1
walking,3
sinus,4
stroke,1
talc,1
chronic,1
pneumonia,1
nail,2
hand,3
mood,1
bipolar,1
stress,2
cold,2
cat,1
hunger,2
tightness,2
supplement,1
vitamin,1
fear,3
tonsil,1
nasal,3
injection,1
hemangioma,1
steroid,1
thigh,2
multivitamin,1
urethra,1
cartilage,3
benign,1
scar,2
tumor,1
miscarriage,1
fertility,1
ovulation,1
wisdom,1
nervousness,1
tampon,1
mushroom,1
finger,1
ostomy,1
spit,1
morning,1
pregnancy,2
spitting,1
dog,4
lupus,1
arm,1
numbness,1
kidney,1
circulation,1
cholesterol,1
tongue,1
forehead,3
insurance,1
pressure,2
food,1
drinking,3
cats,1
methicillin,1
sexual,1
blister,2
fingernail,1
transfusion,1
liver,1
drug,1
choking,1
stretch,1
thyroid,1
runny,2
strep,1
concentration,1
shingles,1
breast,1
type,1
mold,1
bronchitis,1
asthma,1
bloating,1
osteoarthritis,1
toe,1
folliculitis,1
dizziness,1
blinking,1
ibuprofen,1
rabies,1
adenoidectomy,1
amoxicillin,1
sunburn,1
zinc,1
trauma,1
itch,1
ear,1
graft,1
deviated,1
blood,1
pulse,1
sore,1
fruit,1
diet,1
vegetable,1
scabies,1
