injection,36
swine,8
chemotherapy,2
coldness,18
cold,6
vaccines,6
pregnancy,4
breastfeed,3
infant,2
arm,5
pain,9
strep,2
vaccination,5
diabetes,2
drug,4
thyroid,1
pneumonia,4
diarrhea,3
rectum,1
spine,1
surgery,2
menopause,1
period,3
virus,7
lump,2
shingles,3
whooping,1
blood,1
reaction,2
sweating,4
allergy,1
newborn,1
drinking,3
hiv,1
cold,2
bacterium,2
stomach,3
cough,8
vision,7
fatigue,3
muscle,2
temperature,2
dizziness,1
menstrual,1
stress,3
bowel,2
hemmorhoid,1
movement,2
sodium,1
antibiotic,5
baby,2
fever,16
fear,1
running,5
cardiovascular,1
heart,1
stroke,1
headache,6
chest,2
tooth,1
throat,3
drowsiness,2
over,1
vomit,4
sexual,1
exposure,1
shoulder,2
family,5
ears,6
head,4
cancer,3
nose,4
edema,1
congestive,1
acetaminophen,1
nausea,5
sore,1
laboratory,1
alzheimers,1
blood,2
kidney,1
breast,2
milk,2
emergency,1
narcolepsy,1
mucus,1
eyes,2
burn,1
swelling,2
toe,1
wine,1
egg,1
heart,2
irregularity,1
methadone,1
hair,2
asthma,1
endometrium,1
sarcoma,1
ibuprofen,3
blood,1
insulin,1
fibromyalgia,1
ankle,1
fracture,1
immune,2
pulse,1
condom,2
herpes,1
lip,1
baldness,1
mononucleosis,1
tonsil,1
grapefruit,1
hives,1
welt,1
steroid,1
aids,1
sinus,1
blister,1
sore,1
vagina,1
migraine,1
travel,1
hand,1
knee,1
rash,1
lymph,1
neck,1
ammonia,1
smell,1
weakness,1
dairy,1
oil,1
cramps,1
leg,1
piercing,1
bruise,1
spotting,1
pink,1
paranoid,1
short,1
pregnancy,1
dog,1
immunization,2
fuzziness,1
exercise,1
