virus,18
infection,1
condom,6
oral,3
blister,14
allergic,1
itch,6
skin,11
vision,8
sexual,21
shingles,5
head,4
chlamydia,4
penis,14
prostatitis,1
cold,16
pregnancy,2
sore,11
pain,6
pelvis,2
arm,2
bacterium,1
orgasm,1
vagina,16
genital,19
coldness,1
lip,11
food,3
blood,4
poison,1
thigh,2
breast,1
massage,2
syphilis,2
fear,3
nervousness,3
mouth,3
hiv,3
lump,2
lymph,1
reaction,2
boil,1
pain,1
wart,2
fever,4
hand,4
ulcer,1
spit,2
acne,4
immune,1
period,2
tenderness,1
anus,2
masturbation,2
tongue,1
hunger,1
spotting,1
yeast,2
bacterial,2
rash,3
chickenpox,1
impotence,1
burn,2
fatigue,1
numbness,1
urination,1
confusion,2
methicillin,1
healing,4
testicle,1
human,2
elbow,1
flatulence,1
walking,1
ejaculation,2
aids,1
transfusion,1
meningitis,1
vaccination,1
family,1
sexually,3
lupus,1
hemorrhoid,2
trichomoniasis,1
eyes,1
flu,1
grief,1
cervical,1
surgery,2
buttocks,1
dizziness,1
swelling,2
herpes,1
shaving,1
drinking,1
vaginal,3
smell,2
folliculitis,1
sunflower,1
bladder,1
std,1
hives,1
running,2
tonsil,1
tooth,1
taste,1
puffiness,1
oil,1
paranoid,1
exposure,1
pressure,1
suicide,1
thumb,1
baby,1
uterus,1
carpal,1
wrist,1
menopause,1
genitalia,1
genital,1
jock,1
pelvic,1
abscess,1
urinalysis,1
